,Title,Published_date,Views,Likes,Comments,VIDEO_ID
219,The Perfect Balance,2021-06-27T12:23:10Z,176009,13859,1167,MvL9FZynr_4
220,My First Advertisement Shoot,2021-06-23T12:11:29Z,288047,24200,1093,VCAZwebDdOg
221,DESTROYING BACK & BICEPS at an MMA Gym,2021-06-20T14:01:14Z,231088,14691,881,1DJhwN-7mKM
222,GOLDEN HOUR CHEST PUMP w/ Aryan Khanna ☀️,2021-06-17T14:00:16Z,172369,13661,1135,Yox1stsRrko
223,Air Fryer CHICKEN BREAST Recipe! Intense BACK & BICEPS Workout,2021-06-14T13:59:21Z,359209,19666,1179,5J-yospVN8I
224,MY NEW VLOGGING SETUP! New Camera & Lens Unboxing | Sony A6600 + Sigma 16mm f/1.4,2021-06-12T13:59:13Z,138760,15076,1146,R-t8bAGxju0
225,FIRST DAY BACK AT THE GYM,2021-06-09T14:00:31Z,219557,15599,1584,8wPmebTU_So
226,"Full Day of TRAINING & CARDIO! Physique Photoshoot, 1v1 Table Tennis w/@AryanKhannayt & @ViragDesaiViragDesai",2021-06-07T14:54:51Z,189928,13026,810,WHXpQ4qfaJw
227,"CROSSING 7,00,000! Lo-Fi Push Workout + My First Podcast Appearance",2021-06-04T14:01:03Z,251340,22108,1411,dcWZlrC-WLU
228,Surprising My Best Friend :),2021-06-01T14:01:07Z,180735,16276,1056,wBze39hIU2E
229,At-Home CHEST & SHOULDER Workout | Future Home-Gym Expansion Plans,2021-05-28T13:59:54Z,227497,13888,1156,E23cP7gOsNs
230,Setting Up The MINI-HOME GYM! New Equipment Upgrades + Unboxing | My High Protein Pasta Recipe,2021-05-23T13:59:43Z,629417,34066,1394,576RrI0cQDc
231,Push Day PRs | Massive Package Unboxing | Home Workout Motivation,2021-05-20T14:00:31Z,217478,14987,797,mVCFyCTHb5A
232,We're Back,2021-05-17T14:05:47Z,125756,11608,945,GDvxUTQ8hVc
233,My Lockdown HOME Workout Routine To Build Muscle (Weights + Cardio),2021-05-12T14:00:22Z,289533,19574,872,D0rMwyZv0S0
234,taking a small break,2021-05-05T14:01:00Z,150550,11616,998,akvOe7e9fHI
235,Home CHEST Workout w/ @AryanKhannayt | Grocery Haul | Stories From Lockdown: Day 13,2021-05-01T13:59:16Z,211533,13709,1046,D84u9PgHJbA
236,My First AB WORKOUT! Stories From Lockdown: Day 12,2021-04-30T14:00:18Z,196035,13433,808,NiDeNsdk5x4
237,My First Online Yoga Workshop,2021-04-29T14:30:01Z,113875,9734,903,WcN8fz56Xuw
238,A Challenge To Myself,2021-04-28T14:00:29Z,104683,9972,857,8gtmem4IYDU
239,Stories From Lockdown: Day 9,2021-04-27T14:00:52Z,107315,8183,532,5_55REcxjEU
240,Gudi Padwa 2021! Stories From Lockdown: Day 8,2021-04-25T14:01:03Z,135007,10549,791,r8wHch4IF34
241,Stories From Lockdown: Day 7,2021-04-24T14:16:34Z,133385,11055,826,3QA78bk_jPw
242,Stories From Lockdown: Day 6,2021-04-23T14:04:27Z,111710,9015,745,0i14hNlYw7k
243,STOCKING UP FOR THE FUTURE! Stories From Lockdown: Day 5,2021-04-22T14:00:36Z,119501,10213,590,E43IjWgkSEc
244,"BACK Day | Coffee, Cubing ‘n Chess | Stories From Lockdown: Day 4",2021-04-21T14:00:51Z,120881,9057,691,-OXoPkmUU04
245,UNBOXINGS & GIVEAWAYS! Stories From Lockdown: Day 3,2021-04-20T14:00:45Z,105130,9336,623,-j11RQhWgSU
246,The First HOME Workout | Stories From Lockdown: Day 2,2021-04-19T14:00:33Z,179680,15124,1000,SQoX9T_til0
247,IT'S HAPPENING AGAIN | Stories From Lockdown: Day 1,2021-04-18T14:00:02Z,169136,13668,858,gREs1hBSZqE
